customer_id,recency_days,frequency,monetary,avg_basket_value,n_categories,tenure_days,purchase_gap_std,R_score,F_score,M_score,RFM_score,cluster,dbscan_label,segment_name
C00001,127,14,1989.8999999999999,142.13571428571427,6,641,47.96251001421741,1,3,2,6,2,0,Potential Loyalists
C00002,89,5,387.94,77.588,4,152,18.06066167115701,2,1,1,4,3,0,Hibernating / Lost
C00003,8,31,8608.16,277.6825806451613,6,674,30.089200720524296,4,4,4,12,0,0,Loyal Customers
C00004,14,5,415.62,83.124,4,182,48.187135212627034,4,1,1,6,2,0,Potential Loyalists
C00005,1,31,5204.34,167.88193548387096,5,483,23.470454239793106,5,4,3,12,0,0,Loyal Customers
C00006,7,50,9285.26,185.7052,6,691,16.02798468963463,4,4,4,12,4,0,Champions
C00007,26,61,19976.3,327.48032786885244,6,599,12.982584488459915,3,5,5,13,4,0,Champions
C00008,15,27,4790.62,177.43037037037035,6,420,20.38886022566674,4,3,3,10,0,0,Loyal Customers
C00009,83,8,3128.79,391.09875,4,203,22.497165354319463,2,2,3,7,1,0,Needs Attention
C00010,18,32,6283.77,196.3678125,6,348,17.28237660459399,3,4,4,11,0,0,Loyal Customers
C00011,49,5,2362.98,472.596,4,51,0.8660254037844386,2,1,2,5,1,0,Needs Attention
C00012,103,5,4145.85,829.1700000000001,3,116,5.629165124598851,1,1,3,5,1,0,Needs Attention
C00013,172,5,607.0699999999999,121.41399999999999,5,219,8.317902379807062,1,1,1,3,0,0,Loyal Customers
C00014,20,31,10106.62,326.02000000000004,6,349,15.676911543909265,3,4,4,11,4,0,Champions
C00015,2,57,11282.56,197.939649122807,6,639,15.314048755496186,5,4,4,13,4,0,Champions
C00016,14,44,8254.11,187.5934090909091,6,527,14.208407843044512,4,4,4,12,4,0,Champions
C00017,1,231,45576.63,197.30142857142857,6,793,6.154802019699847,5,5,5,15,4,0,Champions
C00018,12,60,12126.45,202.10750000000002,6,562,13.9179687271662,4,5,4,13,4,0,Champions
C00019,31,20,3677.77,183.8885,5,67,4.575618874932948,3,3,3,9,0,0,Loyal Customers
C00020,488,3,156.87,52.29,3,511,10.5,1,1,1,3,3,0,Hibernating / Lost
C00021,15,240,51838.46,215.99358333333333,6,798,6.014547934464602,4,5,5,14,4,0,Champions
C00022,14,26,7472.5199999999995,287.40461538461534,6,305,15.18652033877412,4,3,4,11,0,0,Loyal Customers
C00023,12,5,2183.43,436.686,5,32,4.301162633521313,4,1,2,7,1,0,Needs Attention
C00024,12,11,1975.1599999999999,179.55999999999997,6,118,12.117755567760886,4,2,2,8,0,0,Loyal Customers
