customer_id,signup_date,archetype,region,age
C00001,2024-09-16 03:19:33,occasional,East,56
C00002,2026-01-16 11:39:28,occasional,Central,62
C00003,2024-08-13 11:05:04,occasional,North,51
C00004,2025-12-18 03:14:55,occasional,North,18
C00005,2025-02-20 16:58:06,regular,East,32
C00006,2024-07-28 09:02:23,new,South,47
C00007,2024-10-27 19:40:28,new,East,60
C00008,2025-04-22 16:37:22,regular,Central,41
C00009,2025-11-19 15:10:43,occasional,East,62
C00010,2025-06-29 09:56:29,regular,South,59
C00011,2026-04-19 21:38:05,dormant,Central,31
C00012,2026-02-19 23:09:40,dormant,North,28
C00013,2025-11-09 00:26:09,dormant,Central,64
C00014,2025-06-26 19:06:51,regular,East,48
C00015,2024-09-17 20:53:07,regular,East,62
C00016,2025-01-06 07:32:44,regular,Central,65
C00017,2024-04-17 00:06:59,loyal,East,40
C00018,2024-12-02 18:22:30,regular,South,20
C00019,2026-04-13 19:48:00,loyal,South,65
C00020,2025-01-18 07:03:10,dormant,West,48
C00021,2024-04-12 08:32:33,loyal,East,24
C00022,2025-08-09 17:42:35,regular,North,45
C00023,2026-05-16 08:28:51,new,West,19
C00024,2026-02-19 17:47:50,occasional,West,33
C00025,2024-09-03 16:03:04,new,South,36
C00026,2025-02-12 12:10:21,occasional,North,41
C00027,2025-04-22 21:57:23,new,South,47
C00028,2024-08-11 01:20:04,occasional,North,61
C00029,2024-08-29 19:44:48,occasional,North,36
C00030,2024-07-31 23:54:25,at_risk,South,56
C00031,2026-06-14 02:57:20,occasional,North,66
C00032,2025-11-02 09:54:29,regular,South,56
C00033,2026-01-26 18:29:50,occasional,West,31
C00034,2026-01-04 21:53:06,regular,South,53
C00035,2026-05-13 05:29:54,new,Central,32
C00036,2024-04-04 18:00:23,regular,Central,42
C00037,2026-03-04 11:15:37,regular,East,51
C00038,2024-02-29 21:40:16,regular,Central,33
C00039,2025-03-03 21:05:37,new,Central,18
C00040,2025-06-18 23:46:01,regular,South,61
C00041,2024-11-18 01:47:57,at_risk,West,55
C00042,2024-05-11 13:20:31,new,North,24
C00043,2024-06-22 01:42:31,loyal,West,37
C00044,2026-01-12 04:44:46,at_risk,East,31
C00045,2024-10-13 20:26:10,regular,North,68
C00046,2024-10-06 07:13:43,regular,South,66
C00047,2026-04-11 00:36:58,at_risk,Central,53
C00048,2024-05-09 11:38:01,dormant,South,40
C00049,2026-04-03 17:45:54,regular,North,20
C00050,2025-06-22 16:53:17,occasional,North,30
C00051,2024-05-28 23:29:06,regular,East,22
C00052,2024-05-20 06:35:40,occasional,Central,59
C00053,2024-09-13 05:57:13,occasional,West,22
C00054,2025-06-03 16:10:40,occasional,South,53
C00055,2024-05-18 06:02:57,occasional,North,67
C00056,2025-02-14 02:12:39,regular,North,34
C00057,2024-04-13 22:35:07,at_risk,East,53
C00058,2025-05-01 06:08:12,at_risk,West,63
C00059,2024-01-20 00:47:49,at_risk,West,40
C00060,2025-09-30 03:10:52,loyal,South,41
C00061,2024-02-19 20:32:26,occasional,East,28
C00062,2024-06-24 08:09:05,occasional,South,40
C00063,2024-06-06 04:15:20,loyal,East,63
C00064,2026-01-17 21:28:19,regular,East,52
C00065,2024-02-18 01:02:59,occasional,West,28
C00066,2025-01-21 08:00:30,at_risk,East,45
C00067,2025-06-16 00:42:22,regular,Central,54
C00068,2025-04-09 09:30:13,new,South,22
C00069,2025-09-04 15:26:00,occasional,North,57
C00070,2025-12-23 18:59:17,at_risk,South,28
C00071,2024-12-20 06:25:03,occasional,East,33
C00072,2026-01-15 09:30:20,occasional,East,39
C00073,2024-10-13 04:36:27,occasional,East,44
C00074,2026-06-04 23:31:49,dormant,West,65
C00075,2025-03-30 01:45:59,occasional,South,29
C00076,2025-10-24 09:53:16,occasional,West,31
C00077,2026-02-26 12:06:23,occasional,West,37
C00078,2025-12-14 09:16:00,at_risk,South,62
C00079,2026-02-05 00:26:34,loyal,South,68
C00080,2025-04-27 20:41:35,occasional,North,41
